source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,90% of the Drugs coming into the United States come through Mexico &amp; our Southern Border. 80000 people died last year 1000000 people ruined. This has gone on for many years &amp; nothing has been done about it. We have a 100 Billion Dollar Trade Deficit with Mexico. It’s time!,05-31-2019 14:41:24,29155,109598,false,1.13447E+18
Twitter for iPhone,In order not to pay Tariffs if they start rising companies will leave Mexico which has taken 30% of our Auto Industry and come back home to the USA. Mexico must take back their country from the drug lords and cartels. The Tariff is about stopping drugs as well as illegals!,05-31-2019 14:27:51,23128,93202,false,1.13447E+18
Twitter for iPhone,Mexico has taken advantage of the United States for decades. Because of the Dems our Immigration Laws are BAD. Mexico makes a FORTUNE from the U.S. have for decades they can easily fix this problem. Time for them to finally do what must be done!,05-31-2019 13:30:29,22145,92051,false,1.13445E+18
Twitter for iPhone,On June 10th the United States will impose a 5% Tariff on all goods coming into our Country from Mexico until such time as illegal migrants coming through Mexico and into our Country STOP. The Tariff will gradually increase until the Illegal Immigration problem is remedied..,05-30-2019 23:30:19,39633,162835,false,1.13424E+18
Twitter for iPhone,RT @ChuckGrassley: Thx to Pres Trump/Amb Lighthizer &amp; Canada/Mexico for working to get to this pt Now it’s time for Congress to do its job…,05-22-2019 10:41:53,5825,0,true,1.13115E+18
Twitter for iPhone,...Mexico’s attitude is that people from other countries including Mexico should have the right to flow into the U.S. &amp; that U.S. taxpayers should be responsible for the tremendous costs associated w/this illegal migration. Mexico is wrong and I will soon be giving a response!,05-21-2019 16:16:54,22061,98932,false,1.13087E+18
Twitter for iPhone,I am very disappointed that Mexico is doing virtually nothing to stop illegal immigrants from coming to our Southern Border where everyone knows that because of the Democrats our Immigration Laws are totally flawed &amp; broken...,05-21-2019 16:16:53,24258,109588,false,1.13087E+18
Twitter for iPhone,Starting Monday our great Farmers can begin doing business again with Mexico and Canada. They have both taken the tariff penalties off of your great agricultural product. Please be sure that you are treated fairly. Any complaints should immediately go to  @SecretarySonny Perdue!,05-20-2019 02:29:27,18326,69287,false,1.1303E+18
Twitter for iPhone,....Federal Judges (many more to come) two great new Supreme Court Justices the Mexico City Policy and a whole new &amp; positive attitude about the Right to Life. The Radical Left with late term abortion (and worse) is imploding on this issue. We must stick together and Win....,05-19-2019 03:37:09,18458,87864,false,1.12995E+18
Twitter for iPhone,RT @RealSaavedra: BREAKING: The father of one of the STEM School Highlands Ranch shooters was a *criminal illegal alien from Mexico* who wa…,05/11/2019 12:04,16299,0,true,1.12718E+18
Twitter for iPhone,Congress must change the Immigration Laws now Dems won’t act. Wall is being built - 400 miles by end of next year. Mexico must stop the march to Border! @foxandfriends,05/01/2019 12:06,18078,75373,false,1.12356E+18
Twitter for iPhone,The Coyotes and Drug Cartels are in total control of the Mexico side of the Southern Border. They have labs nearby where they make drugs to sell into the U.S. Mexico one of the most dangerous country’s in the world must eradicate this problem now. Also stop the MARCH to U.S.,04-30-2019 01:17:20,28276,105114,false,1.12303E+18
Twitter for iPhone,Can anyone comprehend what a GREAT job Border Patrol and Law Enforcement is doing on our Southern Border. So far this year they have APPREHENDED 418000 plus illegal immigrants way up from last year. Mexico is doing very little for us. DEMS IN CONGRESS MUST ACT NOW!,04-24-2019 13:34:41,20982,90339,false,1.12104E+18
Twitter for iPhone,Mexico’s Soldiers recently pulled guns on our National Guard Soldiers probably as a diversionary tactic for drug smugglers on the Border. Better not happen again! We are now sending ARMED SOLDIERS to the Border. Mexico is not doing nearly enough in apprehending &amp; returning!,04-24-2019 12:00:46,33900,129824,false,1.12102E+18
