Fecha,Determinación,"Publicación
DOF","Para solventar
obligaciones"
02/01/2007,10.7815,10.8116,10.8755
03/01/2007,10.7708,10.7815,10.8116
04/01/2007,10.8650,10.7708,10.7815
05/01/2007,10.9355,10.8650,10.7708
06/01/2007,N/E,N/E,10.8650
07/01/2007,N/E,N/E,10.8650
08/01/2007,10.9705,10.9355,10.8650
09/01/2007,11.0091,10.9705,10.9355
10/01/2007,11.0333,11.0091,10.9705
11/01/2007,10.9650,11.0333,11.0091
12/01/2007,10.9765,10.9650,11.0333
13/01/2007,N/E,N/E,10.9650
14/01/2007,N/E,N/E,10.9650
15/01/2007,10.9419,10.9765,10.9650
16/01/2007,10.9860,10.9419,10.9765
17/01/2007,10.9234,10.9860,10.9419
18/01/2007,10.9232,10.9234,10.9860
19/01/2007,10.8824,10.9232,10.9234
20/01/2007,N/E,N/E,10.9232
21/01/2007,N/E,N/E,10.9232
22/01/2007,10.8918,10.8824,10.9232
23/01/2007,10.9645,10.8918,10.8824
24/01/2007,10.9486,10.9645,10.8918
25/01/2007,10.9753,10.9486,10.9645
26/01/2007,11.0402,10.9753,10.9486
27/01/2007,N/E,N/E,10.9753
28/01/2007,N/E,N/E,10.9753
29/01/2007,11.0855,11.0402,10.9753
30/01/2007,11.0548,11.0855,11.0402
31/01/2007,11.0382,11.0548,11.0855
01/02/2007,10.9820,11.0382,11.0548
02/02/2007,10.9921,10.9820,11.0382
03/02/2007,N/E,N/E,10.9820
04/02/2007,N/E,N/E,10.9820
05/02/2007,N/E,N/E,10.9820
06/02/2007,10.9192,10.9921,10.9820
07/02/2007,10.9370,10.9192,10.9921
08/02/2007,10.9683,10.9370,10.9192
09/02/2007,10.9601,10.9683,10.9370
10/02/2007,N/E,N/E,10.9683
11/02/2007,N/E,N/E,10.9683
12/02/2007,11.0227,10.9601,10.9683
13/02/2007,10.9915,11.0227,10.9601
14/02/2007,10.9152,10.9915,11.0227
15/02/2007,10.9522,10.9152,10.9915
16/02/2007,10.9958,10.9522,10.9152
17/02/2007,N/E,N/E,10.9522
18/02/2007,N/E,N/E,10.9522
19/02/2007,10.9778,10.9958,10.9522
20/02/2007,10.9755,10.9778,10.9958
21/02/2007,11.0023,10.9755,10.9778
22/02/2007,10.9683,11.0023,10.9755
23/02/2007,11.0397,10.9683,11.0023
24/02/2007,N/E,N/E,10.9683
25/02/2007,N/E,N/E,10.9683
26/02/2007,11.0790,11.0397,10.9683
27/02/2007,11.1493,11.0790,11.0397
28/02/2007,11.1682,11.1493,11.0790
01/03/2007,11.1917,11.1682,11.1493
02/03/2007,11.1817,11.1917,11.1682
03/03/2007,N/E,N/E,11.1917
04/03/2007,N/E,N/E,11.1917
05/03/2007,11.1762,11.1817,11.1917
06/03/2007,11.1473,11.1762,11.1817
07/03/2007,11.1555,11.1473,11.1762
08/03/2007,11.1426,11.1555,11.1473
09/03/2007,11.1205,11.1426,11.1555
10/03/2007,N/E,N/E,11.1426
11/03/2007,N/E,N/E,11.1426
12/03/2007,11.1483,11.1205,11.1426
13/03/2007,11.1727,11.1483,11.1205
14/03/2007,11.1867,11.1727,11.1483
15/03/2007,11.1348,11.1867,11.1727
16/03/2007,11.1664,11.1348,11.1867
17/03/2007,N/E,N/E,11.1348
18/03/2007,N/E,N/E,11.1348
19/03/2007,N/E,N/E,11.1348
20/03/2007,11.1120,11.1664,11.1348
21/03/2007,11.0796,11.1120,11.1664
22/03/2007,11.0220,11.0796,11.1120
23/03/2007,11.0166,11.0220,11.0796
24/03/2007,N/E,N/E,11.0220
25/03/2007,N/E,N/E,11.0220
26/03/2007,11.0253,11.0166,11.0220
27/03/2007,11.0470,11.0253,11.0166
28/03/2007,11.0813,11.0470,11.0253
29/03/2007,11.0507,11.0813,11.0470
30/03/2007,11.0322,11.0507,11.0813
31/03/2007,N/E,N/E,11.0507
01/04/2007,N/E,N/E,11.0507
02/04/2007,11.0336,11.0322,11.0507
03/04/2007,10.9797,11.0336,11.0322
04/04/2007,10.9976,10.9797,11.0336
05/04/2007,N/E,N/E,10.9797
06/04/2007,N/E,N/E,10.9797
07/04/2007,N/E,N/E,10.9797
08/04/2007,N/E,N/E,10.9797
09/04/2007,10.9705,10.9976,10.9797
10/04/2007,11.0126,10.9705,10.9976
11/04/2007,10.9840,11.0126,10.9705
12/04/2007,11.0135,10.9840,11.0126
13/04/2007,10.9917,11.0135,10.9840
14/04/2007,N/E,N/E,11.0135
15/04/2007,N/E,N/E,11.0135
16/04/2007,10.9856,10.9917,11.0135
17/04/2007,10.9911,10.9856,10.9917
18/04/2007,10.9920,10.9911,10.9856
19/04/2007,11.0048,10.9920,10.9911
20/04/2007,10.9790,11.0048,10.9920
21/04/2007,N/E,N/E,11.0048
22/04/2007,N/E,N/E,11.0048
23/04/2007,10.9637,10.9790,11.0048
24/04/2007,11.0053,10.9637,10.9790
25/04/2007,10.9369,11.0053,10.9637
26/04/2007,10.9312,10.9369,11.0053
27/04/2007,10.9305,10.9312,10.9369
28/04/2007,N/E,N/E,10.9312
29/04/2007,N/E,N/E,10.9312
30/04/2007,10.9278,10.9305,10.9312
01/05/2007,N/E,N/E,10.9305
02/05/2007,10.9262,10.9278,10.9305
03/05/2007,10.9020,10.9262,10.9278
04/05/2007,10.8852,10.9020,10.9262
05/05/2007,N/E,N/E,10.9020
06/05/2007,N/E,N/E,10.9020
07/05/2007,10.8558,10.8852,10.9020
08/05/2007,10.8513,10.8558,10.8852
09/05/2007,10.8269,10.8513,10.8558
10/05/2007,10.8178,10.8269,10.8513
11/05/2007,10.8148,10.8178,10.8269
12/05/2007,N/E,N/E,10.8178
13/05/2007,N/E,N/E,10.8178
14/05/2007,10.7987,10.8148,10.8178
15/05/2007,10.8032,10.7987,10.8148
16/05/2007,10.7905,10.8032,10.7987
17/05/2007,10.8033,10.7905,10.8032
18/05/2007,10.8223,10.8033,10.7905
19/05/2007,N/E,N/E,10.8033
20/05/2007,N/E,N/E,10.8033
21/05/2007,10.7963,10.8223,10.8033
22/05/2007,10.7598,10.7963,10.8223
23/05/2007,10.7688,10.7598,10.7963
24/05/2007,10.8354,10.7688,10.7598
25/05/2007,10.7803,10.8354,10.7688
26/05/2007,N/E,N/E,10.8354
27/05/2007,N/E,N/E,10.8354
28/05/2007,10.7788,10.7803,10.8354
29/05/2007,10.7873,10.7788,10.7803
30/05/2007,10.8180,10.7873,10.7788
31/05/2007,10.7445,10.8180,10.7873
01/06/2007,10.7131,10.7445,10.8180
02/06/2007,N/E,N/E,10.7445
03/06/2007,N/E,N/E,10.7445
04/06/2007,10.7441,10.7131,10.7445
05/06/2007,10.7809,10.7441,10.7131
06/06/2007,10.8450,10.7809,10.7441
07/06/2007,10.9043,10.8450,10.7809
08/06/2007,10.9702,10.9043,10.8450
09/06/2007,N/E,N/E,10.9043
10/06/2007,N/E,N/E,10.9043
11/06/2007,10.9307,10.9702,10.9043
12/06/2007,10.9331,10.9307,10.9702
13/06/2007,10.9538,10.9331,10.9307
14/06/2007,10.9012,10.9538,10.9331
15/06/2007,10.8148,10.9012,10.9538
16/06/2007,N/E,N/E,10.9012
17/06/2007,N/E,N/E,10.9012
18/06/2007,10.7760,10.8148,10.9012
